City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches,Snow inches
160,Taoudenni,ML,2020-05-10 20:09:51,22.68,-3.98,96.85,9,2,6.53,clear sky,0,0
161,Ixtapa,MX,2020-05-10 20:09:51,20.7,-105.2,84.2,51,20,9.17,few clouds,0,0
162,Zhanaozen,KZ,2020-05-10 20:09:51,43.3,52.8,57.96,89,68,16.91,light rain,0,0
163,Mlowo,TZ,2020-05-10 20:09:51,-9.0,32.98,55.4,96,100,4.36,overcast clouds,0,0
164,Navalmoral De La Mata,ES,2020-05-10 20:09:51,39.89,-5.54,54.0,77,67,6.91,broken clouds,0,0
165,Bredasdorp,ZA,2020-05-10 20:09:51,-34.53,20.04,60.8,87,0,4.7,clear sky,0,0
166,Olot,ES,2020-05-10 20:09:51,42.18,2.49,54.0,94,24,4.0,light rain,0,0
167,Lisakovsk,KZ,2020-05-10 20:09:51,52.54,62.49,65.48,63,54,8.23,broken clouds,0,0
168,Adrar,MR,2020-05-10 20:08:51,20.5,-10.07,91.17,12,66,9.04,broken clouds,0,0
169,Kuching,MY,2020-05-10 20:09:52,1.55,110.33,78.8,94,20,1.74,few clouds,0,0
170,Constantine,DZ,2020-05-10 20:09:52,36.37,6.61,60.8,67,75,11.41,broken clouds,0,0
171,Isangel,VU,2020-05-10 20:09:52,-19.55,169.27,70.97,70,24,6.15,few clouds,0,0
172,Alofi,NU,2020-05-10 20:09:52,-19.06,-169.92,80.6,88,0,3.36,clear sky,0,0
173,Gubkinskiy,RU,2020-05-10 20:09:52,64.43,76.5,52.27,78,94,1.54,overcast clouds,0,0
174,Yeppoon,AU,2020-05-10 20:09:52,-23.13,150.73,64.4,39,90,10.29,overcast clouds,0,0
175,Auki,SB,2020-05-10 20:09:52,-8.77,160.7,79.52,84,16,5.77,light rain,0,0
176,Waterloo,CA,2020-05-10 20:09:39,43.47,-80.52,52.0,50,90,13.87,overcast clouds,0,0
177,Vao,NC,2020-05-10 20:06:04,-22.67,167.48,71.73,62,100,5.84,overcast clouds,0,0
178,Sampit,ID,2020-05-10 20:09:53,-2.53,112.95,75.76,96,64,2.13,broken clouds,0,0
179,Arraial Do Cabo,BR,2020-05-10 20:09:53,-22.97,-42.03,75.2,60,0,23.04,clear sky,0,0
180,Klaksvik,FO,2020-05-10 20:09:53,62.23,-6.59,35.6,55,95,13.87,overcast clouds,0,0
181,Havelock,US,2020-05-10 20:05:56,34.88,-76.9,69.8,22,1,11.07,clear sky,0,0
182,Nishihara,JP,2020-05-10 20:09:53,26.18,127.76,77.0,94,75,9.17,moderate rain,0,0
183,Qaqortoq,GL,2020-05-10 20:09:53,60.72,-46.03,57.2,74,84,8.05,broken clouds,0,0
184,Shizunai,JP,2020-05-10 20:07:41,42.33,142.37,50.0,91,89,16.49,overcast clouds,0,0
