City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
133,Awbari,LY,2020-05-07 23:39:59,26.59,12.78,75.94,17,0,6.4
134,Pevek,RU,2020-05-07 23:39:59,69.7,170.31,32.0,92,25,6.46
135,Rio De Janeiro,BR,2020-05-07 23:39:20,-22.9,-43.21,66.2,88,90,3.36
136,Te Anau,NZ,2020-05-07 23:40:00,-45.42,167.72,55.54,81,85,3.94
137,Khatanga,RU,2020-05-07 23:40:00,71.97,102.5,9.52,93,0,11.48
138,Ayorou,NE,2020-05-07 23:40:00,14.73,0.92,80.22,13,61,5.7
139,Ketchikan,US,2020-05-07 23:37:46,55.34,-131.65,57.2,44,1,10.29
140,Castro,BR,2020-05-07 23:40:00,-24.79,-50.01,47.5,87,0,4.27
141,Sambava,MG,2020-05-07 23:40:00,-14.27,50.17,74.12,84,12,6.49
142,Muscat,OM,2020-05-07 23:35:44,23.61,58.59,87.8,25,16,3.36
143,Dikson,RU,2020-05-07 23:40:00,73.51,80.55,16.83,94,100,14.18
144,Labuhan,ID,2020-05-07 23:40:01,-6.88,112.21,80.24,85,89,8.75
145,Dangriga,BZ,2020-05-07 23:40:01,16.97,-88.23,80.6,83,75,16.11
146,Homer,US,2020-05-07 23:40:01,59.64,-151.55,48.2,66,90,16.11
147,Gobabis,NA,2020-05-07 23:40:01,-22.45,18.97,51.8,62,0,3.36
148,Butaritari,KI,2020-05-07 23:40:01,3.07,172.79,83.48,77,99,9.75
149,Fier,AL,2020-05-07 23:40:01,40.72,19.56,53.94,76,0,4.36
150,Sekoma,BW,2020-05-07 23:40:01,-24.4,23.88,57.99,54,0,7.4
151,Golden,US,2020-05-07 23:40:01,39.76,-105.22,70.0,11,20,29.97
152,Greystones,IE,2020-05-07 23:37:09,53.14,-6.06,52.0,81,57,12.75
153,Prince George,CA,2020-05-07 23:40:02,53.92,-122.75,60.01,44,20,6.93
154,Fez,MA,2020-05-07 23:40:02,34.04,-5.0,66.2,68,40,8.05
155,Evensk,RU,2020-05-07 23:40:02,61.95,159.23,35.13,83,90,16.87
156,Sinnamary,GF,2020-05-07 23:40:02,5.38,-52.95,78.42,83,88,10.92
157,Minab,IR,2020-05-07 23:40:02,27.15,57.08,78.8,69,89,6.93
158,Mossendjo,CG,2020-05-07 23:40:03,-2.95,12.73,70.63,97,100,0.54
159,Puerto Leguizamo,CO,2020-05-07 23:40:03,-0.19,-74.78,74.71,96,77,1.81
160,Ahipara,NZ,2020-05-07 23:40:03,-35.17,173.17,64.62,66,36,8.1
161,Bredasdorp,ZA,2020-05-07 23:40:03,-34.53,20.04,60.8,87,95,1.28
162,Tarpon Springs,US,2020-05-07 23:40:03,28.15,-82.76,73.99,49,1,11.41
163,Haines Junction,CA,2020-05-07 23:40:03,60.75,-137.51,51.19,45,84,4.79
